Name;Consecutive leading laps;Titles;Wins;Fastest laps;Podiums
Mario Andretti;108;1;12;10;19
Alberto Ascari;305;2;13;12;17
Jack Brabham;123;3;14;12;31
Jim Clark;186;2;25;28;32
Juan Manuel Fangio;138;5;24;23;35
Mika Hakkinen;111;2;20;25;51
Lewis Hamilton;144;7;103;61;192
Damon Hill;101;1;22;19;42
Graham Hill;106;2;14;10;36
Niki Lauda;148;3;25;24;54
Nigel Mansell;235;1;31;30;59
Nelson Piquet;133;3;23;23;60
Alain Prost;156;4;51;41;106
Kimi Raikkonen;162;1;21;46;103
Nico Rosberg;107;1;23;20;57
Michael Schumacher;140;7;91;77;155
Ayrton Senna;264;3;41;19;80
Jackie Stewart;150;3;27;15;43
Max Verstappen;144;2;37;22;80
Sebastian Vettel;205;4;53;38;122
Fernando Alonso;0;2;32;23;101
Gerhard Berger;108;0;10;21;48
Jenson Button;0;1;15;8;50
Giuseppe Farina;0;1;5;5;20
Emerson Fittipaldi;0;2;14;6;35
Mike Hawthorn;0;1;3;6;18
Phil Hill;0;1;3;6;16
Denny Hulme;0;1;8;9;33
James Hunt;0;1;10;8;23
Alan Jones;0;1;12;13;24
Stirling Moss;100;0;16;19;24
Didier Pironi;126;0;3;5;13
Jochen Rindt;0;1;6;3;13
Keke Rosberg;0;1;5;3;17
Jody Scheckter;0;1;10;5;33
Ralf Schumacher;105;0;6;8;27
John Surtees;0;1;6;11;24
Gilles Villeneuve;106;0;6;8;13
Jacques Villeneuve;0;1;11;9;23
Bill Vukovich;147;0;2;3;2
Lee Wallard;120;0;1;1;1
Mark Webber;159;0;9;19;42
Michele Alboreto;0;0;5;5;23
Jean Alesi;0;0;1;4;32
René Arnoux;0;0;7;12;22
Giancarlo Baghetti;0;0;1;1;1
Lorenzo Bandini;0;0;1;2;8
Rubens Barrichello;0;0;11;17;68
Jean-Pierre Beltoise;0;0;1;4;8
Valtteri Bottas;0;0;10;19;67
Thierry Boutsen;0;0;3;1;15
Vittorio Brambilla;0;0;1;1;1
